num_threads,read_size_sectors,num_iterations,bytes_read
1,1,3687,15101952
1,2,2815,23060480
1,4,1830,29982720
1,8,559,18317312
1,16,672,44040192
1,32,1240,162529280
1,64,1114,292028416
1,128,934,489684992
1,256,695,728760320
1,512,462,968884224
2,1,1701,6967296
2,2,1666,13647872
2,4,1614,26443776
2,8,1583,51871744
2,16,1467,96141312
2,32,1389,182059008
2,64,1174,307757056
2,128,999,523763712
2,256,766,803209216
2,512,500,1048576000
4,1,2130,8724480
4,2,2016,16515072
4,4,2017,33046528
4,8,1958,64159744
4,16,1900,124518400
4,32,1721,225574912
4,64,1453,380895232
4,128,1151,603455488
4,256,914,958398464
4,512,526,1103101952
8,1,2703,11071488
8,2,2601,21307392
8,4,2556,41877504
8,8,2506,82116608
8,16,2409,157876224
8,32,2136,279969792
8,64,1801,472121344
8,128,1369,717750272
8,256,964,1010827264
8,512,524,1098907648
16,1,3191,13070336
16,2,3173,25993216
16,4,3066,50233344
16,8,2955,96829440
16,16,2768,181403648
16,32,2492,326631424
16,64,2061,540278784
16,128,1513,793247744
16,256,1049,1099956224
16,512,531,1113587712
32,1,3766,15425536
32,2,3793,31072256
32,4,3591,58834944
32,8,3440,112721920
32,16,3233,211877888
32,32,2840,372244480
32,64,2324,609222656
32,128,1701,891813888
32,256,1085,1137704960
32,512,578,1212153856
64,1,3937,16125952
64,2,3856,31588352
64,4,3663,60014592
64,8,3547,116228096
64,16,3219,210960384
64,32,2812,368574464
64,64,2375,622592000
64,128,1764,924844032
64,256,1106,1159725056
64,512,631,1323302912
128,1,3954,16195584
128,2,3794,31080448
128,4,3695,60538880
128,8,3592,117702656
128,16,3334,218497024
128,32,2996,392691712
128,64,2451,642514944
128,128,1876,983564288
128,256,1217,1276116992
128,512,658,1379926016
256,1,4116,16859136
256,2,3875,31744000
256,4,3863,63291392
256,8,3735,122388480
256,16,3513,230227968
256,32,3145,412221440
256,64,2594,680001536
256,128,1968,1031798784
256,256,1311,1374683136
256,512,759,1591738368
512,1,4248,17399808
512,2,4300,35225600
512,4,4148,67960832
512,8,3997,130973696
512,16,3775,247398400
512,32,3333,436862976
512,64,2783,729546752
512,128,2176,1140850688
512,256,1454,1524629504
512,512,851,1784676352
