num_threads,read_size_sectors,num_iterations,bytes_read
1,1,1790,7331840
1,2,2116,17334272
1,4,2142,35094528
1,8,2218,72679424
1,16,2115,138608640
1,32,2017,264372224
1,64,1909,500432896
1,128,1586,831520768
1,256,1251,1311768576
1,512,910,1908408320
2,1,4555,18657280
2,2,4636,37978112
2,4,4340,71106560
2,8,4369,143163392
2,16,4366,286130176
2,32,4251,557187072
2,64,3840,1006632960
2,128,3226,1691353088
2,256,2486,2606759936
2,512,1772,3716153344
4,1,9316,38158336
4,2,8994,73678848
4,4,8885,145571840
4,8,8796,288227328
4,16,8593,563150848
4,32,8381,1098514432
4,64,7583,1987837952
4,128,6532,3424649216
4,256,5068,5314183168
4,512,3551,7446986752
8,1,18096,74121216
8,2,18464,151257088
8,4,18197,298139648
8,8,17820,583925760
8,16,17297,1133576192
8,32,16468,2158493696
8,64,15238,3994550272
8,128,12936,6782189568
8,256,10191,10686038016
8,512,6974,14625538048
16,1,36713,150376448
16,2,36665,300359680
16,4,36038,590446592
16,8,35492,1163001856
16,16,35325,2315059200
16,32,33847,4436393984
16,64,30703,8048607232
16,128,25943,13601603584
16,256,20396,21386756096
16,512,13982,29322379264
32,1,73109,299454464
32,2,73487,602005504
32,4,72831,1193263104
32,8,71167,2332000256
32,16,69351,4544987136
32,32,67250,8814592000
32,64,61903,16227500032
32,128,52816,27690795008
32,256,41328,43335548928
32,512,26732,56061067264
64,1,146379,599568384
64,2,147185,1205739520
64,4,144780,2372075520
64,8,142866,4681433088
64,16,137911,9038135296
64,32,135209,17722114048
64,64,122910,32220119040
64,128,104363,54716268544
64,256,81448,85404418048
64,512,50744,106417881088
128,1,281704,1153859584
128,2,281556,2306506752
128,4,277835,4552048640
128,8,276567,9062547456
128,16,268580,17601658880
128,32,227922,29874192384
128,64,238884,62622007296
128,128,197736,103670611968
128,256,111997,117437366272
128,512,56886,119298588672
256,1,323115,1323479040
256,2,346520,2838691840
256,4,344219,5639684096
256,8,333987,10944086016
256,16,326852,21420572672
256,32,339798,44538003456
256,64,299408,78488010752
256,128,217524,114045222912
256,256,112712,118187098112
256,512,57125,119799808000
512,1,103512,423985152
512,2,204773,1677500416
512,4,165874,2717679616
512,8,109512,3588489216
512,16,218227,14301724672
512,32,117474,15397552128
512,64,191645,50238586880
512,128,217553,114060427264
512,256,111512,116928806912
512,512,57244,120049369088
