num_threads,read_size_sectors,num_iterations,bytes_read
1,1,2371,9711616
1,2,2350,19251200
1,4,2293,37568512
1,8,2117,69369856
1,16,2076,136052736
1,32,2131,279314432
1,64,1924,504365056
1,128,1671,876085248
1,256,1325,1389363200
1,512,894,1874853888
2,1,4609,18878464
2,2,4649,38084608
2,4,4613,75579392
2,8,4665,152862720
2,16,4413,289210368
2,32,4263,558759936
2,64,3797,995360768
2,128,3329,1745354752
2,256,2631,2758803456
2,512,1778,3728736256
4,1,9364,38354944
4,2,9388,76906496
4,4,9342,153059328
4,8,9109,298483712
4,16,8804,576978944
4,32,8580,1124597760
4,64,7796,2043674624
4,128,6821,3576168448
4,256,5271,5527044096
4,512,3549,7442792448
8,1,19031,77950976
8,2,18905,154869760
8,4,18677,306003968
8,8,18242,597753856
8,16,17700,1159987200
8,32,17063,2236481536
8,64,15519,4068212736
8,128,13306,6976176128
8,256,10610,11125391360
8,512,6949,14573109248
16,1,38094,156033024
16,2,38043,311648256
16,4,37965,622018560
16,8,37440,1226833920
16,16,36276,2377383936
16,32,35129,4604428288
16,64,31650,8296857600
16,128,27176,14248050688
16,256,21424,22464692224
16,512,13754,28844228608
32,1,77562,317693952
32,2,77420,634224640
32,4,77024,1261961216
32,8,75133,2461958144
32,16,73089,4789960704
32,32,71377,9355526144
32,64,64437,16891772928
32,128,55319,29003087872
32,256,43403,45511344128
32,512,26172,54886662144
64,1,154906,634494976
64,2,154662,1266991104
64,4,154064,2524184576
64,8,151213,4954947584
64,16,147457,9663741952
64,32,144564,18948292608
64,64,131433,34454372352
64,128,111594,58507395072
64,256,87023,91250229248
64,512,49701,104230551552
128,1,272529,1116278784
128,2,269164,2204991488
128,4,261363,4282171392
128,8,254646,8344240128
128,16,247601,16226779136
128,32,237460,31124357120
128,64,219162,57452003328
128,128,194460,101953044480
128,256,118191,123932246016
128,512,59220,124193341440
256,1,270390,1107517440
256,2,265551,2175393792
256,4,251458,4119887872
256,8,251761,8249704448
256,16,241565,15831203840
256,32,230644,30230970368
256,64,214592,56254005248
256,128,184570,96767836160
256,256,118389,124139864064
256,512,59309,124379987968
512,1,261717,1071992832
512,2,254894,2088091648
512,4,249217,4083171328
512,8,244850,8023244800
512,16,233887,15328018432
512,32,226584,29698818048
512,64,208102,54552690688
512,128,175823,92181889024
512,256,118541,124299247616
512,512,59436,124646326272
