take_size,column,takes_per_second
1,scalar,237258.0725784387
16,scalar,392933.9973234806
256,scalar,454146.33106750343
1,string,146157.8513940552
16,string,197154.64783087326
256,string,203961.32378038685
1,vector,186627.23553875083
16,vector,340568.8152803961
256,vector,522262.688244641
1,vector-list,0
16,vector-list,0
256,vector-list,0
1,scalar-list,166676.56665063533
16,scalar-list,259518.53585326116
256,scalar-list,344442.28673970484
1,string-list,95523.88431518318
16,string-list,118455.57629851186
256,string-list,143087.1410140903
1,binary,55726.73700808538
16,binary,63832.68322609315
256,binary,63680.71613436071
1,binary-list,10493.934252979376
16,binary-list,10868.328506254784
256,binary-list,8535.72632256638
