take_size,column,takes_per_second
1,scalar,280868.32038390427
16,scalar,744825.1780534392
256,scalar,907049.0864290412
1,string,168265.78010897295
16,string,199193.58091419574
256,string,207536.67130514988
1,scalar-list,184492.4383844084
16,scalar-list,251310.10415355192
256,scalar-list,397828.7181544593
1,string-list,111387.71787654389
16,string-list,131263.99056968174
256,string-list,149462.68105793188
1,vector,146331.7542263164
16,vector,253635.8973093954
256,vector,523408.58512701804
1,vector-list,29007.925599895694
16,vector-list,103756.35741544316
256,vector-list,119840.55567397733
1,binary,29387.536276332143
16,binary,91041.03855224562
256,binary,106983.6307937015
1,binary-list,4056.7748051771255
16,binary-list,16170.616683800847
256,binary-list,18674.059376807854
