use_cache,row_group_size,page_size_kb,take_size,column,io_size,takes_per_second
True,100000,8,1,int,0,6639.812718997828
True,100000,8,1,double,0,5780.049861470833
True,100000,8,1,embedding,0,2508.07598216368
True,100000,8,4,int,0,19445.774059978783
True,100000,8,4,double,0,17974.394621680658
True,100000,8,4,embedding,0,8014.843081404931
True,100000,8,16,int,0,61320.69285846227
True,100000,8,16,double,0,44948.375403811195
True,100000,8,16,embedding,0,11863.533621577326
True,100000,8,64,int,0,308800.69589530554
True,100000,8,64,double,0,98921.13481368133
True,100000,8,64,embedding,0,20791.171754526335
True,100000,8,256,int,0,482377.35828578635
True,100000,8,256,double,0,213395.8186378023
True,100000,8,256,embedding,0,41189.555069958435
True,100000,64,1,int,0,9617.977564143737
True,100000,64,1,double,0,5841.653582111111
True,100000,64,1,embedding,0,3742.010431986702
True,100000,64,4,int,0,48920.92675216363
True,100000,64,4,double,0,18396.064700095907
True,100000,64,4,embedding,0,12108.431117045753
True,100000,64,16,int,0,138678.4582145051
True,100000,64,16,double,0,85892.376919919
True,100000,64,16,embedding,0,28778.107065049884
True,100000,64,64,int,0,222083.58286975132
True,100000,64,64,double,0,202511.01861324097
True,100000,64,64,embedding,0,69967.75306663227
True,100000,64,256,int,0,260035.7553583464
True,100000,64,256,double,0,262682.9884038856
True,100000,64,256,embedding,0,123959.81148420296
True,100000,256,1,int,0,16164.512701932703
True,100000,256,1,double,0,3365.31724886804
True,100000,256,1,embedding,0,1562.5187043393394
True,100000,256,4,int,0,61451.269127931635
True,100000,256,4,double,0,29020.22539400987
True,100000,256,4,embedding,0,7741.561230759968
True,100000,256,16,int,0,109133.2435368449
True,100000,256,16,double,0,56447.845967858324
True,100000,256,16,embedding,0,22508.19496846515
True,100000,256,64,int,0,142029.2355106606
True,100000,256,64,double,0,70558.67049521153
True,100000,256,64,embedding,0,37472.987427927
True,100000,256,256,int,0,152853.6446319788
True,100000,256,256,double,0,75272.79097606544
True,100000,256,256,embedding,0,45384.75271436718
True,100000,1024,1,int,0,14647.650899609418
True,100000,1024,1,double,0,3895.9284096770884
True,100000,1024,1,embedding,0,1014.7705422717025
True,100000,1024,4,int,0,59842.421987388785
True,100000,1024,4,double,0,29190.635671316486
True,100000,1024,4,embedding,0,4342.542280537751
True,100000,1024,16,int,0,105121.55305011621
True,100000,1024,16,double,0,56800.40531139504
True,100000,1024,16,embedding,0,5741.967905500111
True,100000,1024,64,int,0,142139.22682262407
True,100000,1024,64,double,0,71098.56489864575
True,100000,1024,64,embedding,0,7713.558820840999
True,100000,1024,256,int,0,155967.48430722076
True,100000,1024,256,double,0,76235.37087885503
True,100000,1024,256,embedding,0,8147.103417724788
