format,nesting_type,nesting_level,takes_per_second
lance2-0,list,1,213053.85286487418
lance2-0,list,2,88169.54474535666
lance2-0,list,3,56784.85878113978
lance2-0,list,4,43615.83482931001
lance2-0,list,5,28415.45355329051
lance2-1,list,1,509304.5774266834
lance2-1,list,2,466512.9124902019
lance2-1,list,3,441339.9277044811
lance2-0,validity,1,487961.5533526244
lance2-0,validity,2,340920.2544070983
lance2-0,validity,3,255373.83711300042
lance2-0,validity,4,187883.80019594912
lance2-0,validity,5,127613.58985685252
lance2-1,validity,1,478098.5240253354
lance2-1,validity,2,339915.35378414893
lance2-1,validity,3,255766.33109488635
lance2-1,validity,4,201112.60732177112
lance2-1,validity,5,171912.053981278
