page_size_kb,row_group_size,category,iterations_per_second,mem_bytes_per_second,disk_bytes_per_second,file_size_bytes
8,1024,prompts,25.410234978518684,2640038849.006083,1145829875.1632078,45093242
8,10240,prompts,38.95137694286034,4158993698.474939,1904726188.692188,48900099
8,102400,prompts,41.97474479697679,4435551202.610631,2074268650.0158691,49417064
8,1048576,prompts,31.107377504386463,3287175809.3352857,1537235265.006426,49417064
32,1024,prompts,24.36863106302903,2531819668.6445384,1098860577.7338853,45093242
32,10240,prompts,29.17388647217494,3032173420.237812,1331936762.6235669,45655102
32,102400,prompts,33.90005028680856,3481720394.330006,1550511448.7046232,45737733
32,1048576,prompts,38.885640061882135,3993767705.492594,1778541022.6844687,45737733
64,1024,prompts,20.146319102736616,2093135507.8243606,908462842.7089251,45093242
64,10240,prompts,35.967092247565105,3844857128.1685057,1628365430.3799388,45273758
64,102400,prompts,36.56204795268436,4020525859.611041,1656521459.6585042,45307130
64,1048576,prompts,27.644395520567237,3039901025.445595,1252488221.6217575,45307130
256,1024,prompts,22.895922753683035,2378810176.476743,1032451385.5451355,45093242
256,10240,prompts,34.107456435764966,3565962060.9691143,1530239252.8875961,44865241
256,102400,prompts,37.98406184454894,4093336775.2443366,1703299571.5670106,44842481
256,1048576,prompts,35.72228941029289,3849597800.716976,1601876084.15756,44842481
0,1024,prompts,24.124606343144276,2506466312.36278,1087856711.9861398,45093242
0,10240,prompts,25.233276475472902,2324584205.1070056,1130157424.028882,44788374
0,102400,prompts,29.219359209942954,2597212533.163873,1307391563.6575127,44744019
0,1048576,prompts,28.970176516295528,2575063504.831712,1296242128.478481,44744019
8,1024,images,1.515098771754531,1828181533.3692567,1301844583.4069529,859247336
8,10240,images,1.5461940784389527,1865702430.6960244,1328563142.8376453,859247336
8,102400,images,0.9842959664609782,1187692672.4519498,845753687.0171409,859247336
8,1048576,images,0.905919512746425,1093120366.0101814,778408927.9577837,859247336
32,1024,images,0.9414802035104126,1136029382.491854,808964356.7630599,859247336
32,10240,images,1.34700709193004,1625355083.5713425,1157412255.313994,859247336
