page_size_kb,take_size,column,io_size,takes_per_second
8,1,scalar,0,360752.166121368
8,16,scalar,0,377915.8353497666
8,256,scalar,0,389466.2236500905
64,256,scalar,0,175551.21582936402
256,256,scalar,0,50490.288599069085
8,1,string,0,305487.4028221317
8,16,string,0,327409.7415533063
8,256,string,0,325844.69333868823
64,256,string,0,125202.27177331061
256,256,string,0,24851.487888385545
8,1,vector,0,224589.25311252006
8,16,vector,0,249004.62514483288
8,256,vector,0,237139.13064337784
64,256,vector,0,149892.93237276282
256,256,vector,0,45572.63552239424
8,1,scalar-list,0,274797.7880021861
8,16,scalar-list,0,301931.3404995336
8,256,scalar-list,0,292014.5446457264
64,256,scalar-list,0,137561.5172676148
256,256,scalar-list,0,40920.59206640961
8,1,string-list,0,240930.4988077126
8,16,string-list,0,245859.56133494404
8,256,string-list,0,249527.7724443328
64,256,string-list,0,72811.73457931796
256,256,string-list,0,22130.13769834974
8,1,vector-list,0,120869.54565623369
8,16,vector-list,0,103993.06590509659
8,256,vector-list,0,104630.731767357
64,256,vector-list,0,70051.51782589493
256,256,vector-list,0,20655.499211602502
8,1,binary,0,49588.71159744088
8,16,binary,0,50551.73953571471
8,256,binary,0,50477.64169633096
64,256,binary,0,16842.43353057381
256,256,binary,0,10230.510371725664
8,1,binary-list,0,13456.623976847395
8,16,binary-list,0,13552.220699484184
8,256,binary-list,0,13619.80498863647
64,256,binary-list,0,10520.493094130208
256,256,binary-list,0,7065.22675127589
