take_size,column,takes_per_second
1,scalar,485091.86983735417
16,scalar,487249.78025925497
256,scalar,518928.78478784283
1,string,287063.4074736066
16,string,290866.73375299777
256,string,298996.80438748497
1,scalar-list,385189.42799668276
16,scalar-list,400453.9192669565
256,scalar-list,501710.48939476046
1,string-list,224640.85243803728
16,string-list,226171.53781180488
256,string-list,258562.09217552847
1,vector,237341.05196171065
16,vector,293659.64739315375
256,vector,293428.69217949716
1,vector-list,172506.9103582188
16,vector-list,160640.1997499824
256,vector-list,163285.14005398776
1,binary,85201.84931419934
16,binary,75731.00172484842
256,binary,70658.3167924177
1,binary-list,15794.399597790913
16,binary-list,14231.319142663428
256,binary-list,9193.880540728092
