take_size,column,takes_per_second
1,scalar,622787.0181346603
16,scalar,643687.7897206476
256,scalar,718330.4376261624
1,string,206557.1913312644
16,string,207487.84396570094
256,string,213900.21581540752
1,scalar-list,246960.85489142823
16,scalar-list,255952.33691311147
256,scalar-list,384030.24190484907
1,string-list,129483.89391709579
16,string-list,132802.72832476068
256,string-list,156285.67342673393
1,vector,151981.68913971924
16,vector,218925.23976526794
256,vector,369484.06459275255
1,vector-list,43096.38927078045
16,vector-list,129369.1791971917
256,vector-list,155400.4771472847
1,binary,32442.459622401795
16,binary,90137.97168196992
256,binary,113180.66481672667
1,binary-list,4138.2640825038
16,binary-list,18384.29008925277
256,binary-list,19584.067820167733
