num_threads,read_size_sectors,num_iterations,bytes_read
1,1,125737,515018752
1,2,74993,614342656
1,4,72365,1185628160
1,8,67484,2211315712
1,16,64065,4198563840
1,32,56741,7437156352
1,64,49483,12971671552
1,128,38353,20108017664
1,256,23573,24718082048
1,512,14060,29485957120
2,1,251891,1031745536
2,2,147716,1210089472
2,4,141684,2321350656
2,8,131425,4306534400
2,16,122774,8046116864
2,32,110138,14436007936
2,64,87567,22955163648
2,128,57148,29962010624
2,256,30752,32245809152
2,512,16086,33734787072
4,1,499788,2047131648
4,2,287008,2351169536
4,4,272263,4460756992
4,8,249272,8168144896
4,16,227210,14890434560
4,32,192245,25197936640
4,64,129582,33969143808
4,128,67490,35384197120
4,256,33402,35024535552
4,512,16840,35316039680
8,1,973165,3986083840
8,2,543349,4451115008
8,4,505064,8274968576
8,8,448995,14712668160
8,16,384458,25195839488
8,32,272522,35720003584
8,64,137598,36070490112
8,128,68709,36023304192
8,256,34241,35904290816
8,512,17204,36079403008
16,1,1839647,7535194112
16,2,966233,7915380736
16,4,871596,14280228864
16,8,734804,24078057472
16,16,542145,35530014720
16,32,275719,36139040768
16,64,137908,36151754752
16,128,68939,36143890432
16,256,34471,36145463296
16,512,17252,36180066304
32,1,3262579,13363523584
32,2,1539420,12610928640
32,4,1335573,21882028032
32,8,1031381,33796292608
32,16,550717,36091789312
32,32,275743,36142186496
32,64,137927,36156735488
32,128,68951,36150181888
32,256,34495,36170629120
32,512,17262,36201037824
64,1,4891619,20036071424
64,2,2069714,16955097088
64,4,1642884,26917011456
64,8,907437,29734895616
64,16,546080,35787898880
64,32,275747,36142710784
64,64,137784,36119248896
64,128,68982,36166434816
64,256,34500,36175872000
64,512,17269,36215717888
128,1,4889357,20026806272
128,2,1691355,13855580160
128,4,1351803,22147940352
128,8,907815,29747281920
128,16,545922,35777544192
128,32,275751,36143235072
128,64,137994,36174299136
128,128,69042,36197892096
128,256,34568,36247175168
128,512,17355,36396072960
256,1,4996086,20463968256
256,2,1691717,13858545664
256,4,1351750,22147072000
256,8,909321,29796630528
256,16,546066,35786981376
256,32,275976,36172726272
256,64,138116,36206280704
256,128,69154,36256612352
256,256,34699,36384538624
256,512,17481,36660314112
512,1,4991840,20446576640
512,2,1692036,13861158912
512,4,1353756,22179938304
512,8,908915,29783326720
512,16,546601,35822043136
512,32,276255,36209295360
512,64,138284,36250320896
512,128,69434,36403412992
512,256,34972,36670799872
512,512,17707,37134270464
