num_threads,read_size_sectors,num_iterations,bytes_read
1,1,344,1409024
1,2,415,3399680
1,4,422,6914048
1,8,421,13795328
1,16,426,27918336
1,32,406,53215232
1,64,403,105644032
1,128,391,204996608
1,256,381,399507456
1,512,345,723517440
2,1,841,3444736
2,2,827,6774784
2,4,835,13680640
2,8,832,27262976
2,16,838,54919168
2,32,821,107610112
2,64,820,214958080
2,128,785,411566080
2,256,765,802160640
2,512,658,1379926016
4,1,1685,6901760
4,2,1680,13762560
4,4,1670,27361280
4,8,1661,54427648
4,16,1672,109576192
4,32,1646,215744512
4,64,1618,424148992
4,128,1582,829423616
4,256,1487,1559232512
4,512,1321,2770337792
8,1,3362,13770752
8,2,3333,27303936
8,4,3367,55164928
8,8,3310,108462080
8,16,3298,216137728
8,32,3298,432275456
8,64,3275,858521600
8,128,3065,1606942720
8,256,2960,3103784960
8,512,2663,5584715776
16,1,6699,27439104
16,2,6664,54591488
16,4,6686,109543424
16,8,6660,218234880
16,16,6687,438239232
16,32,6600,865075200
16,64,6395,1676410880
16,128,6234,3268411392
16,256,5913,6200229888
16,512,5309,11133779968
32,1,13369,54759424
32,2,13391,109699072
32,4,13303,217956352
32,8,13379,438403072
32,16,13214,865992704
32,32,13153,1723990016
32,64,13033,3416522752
32,128,12589,6600261632
32,256,11718,12287213568
32,512,10719,22479372288
64,1,26152,107118592
64,2,26708,218791936
64,4,26387,432324608
64,8,26723,875659264
64,16,26276,1722023936
64,32,26396,3459776512
64,64,25944,6801063936
64,128,25203,13213630464
64,256,23605,24751636480
64,512,21154,44363153408
128,1,53171,217788416
128,2,53237,436117504
128,4,53425,875315200
128,8,53077,1739227136
128,16,53159,3483828224
128,32,52422,6871056384
128,64,52105,13659013120
128,128,50141,26288324608
128,256,46905,49183457280
128,512,42595,89328189440
256,1,107060,438517760
256,2,106426,871841792
256,4,107202,1756397568
256,8,105167,3446112256
256,16,104050,6819020800
256,32,105508,13829144576
256,64,103004,27001880576
256,128,100985,52945223680
256,256,94496,99086237696
256,512,57932,121492209664
512,1,212590,870768640
512,2,212188,1738244096
512,4,211457,3464511488
512,8,208892,6844973056
512,16,208774,13682212864
512,32,205955,26994933760
512,64,199259,52234551296
512,128,165488,86763372544
512,256,108053,113301782528
512,512,57926,121479626752
