page_size_kb,take_size,column,io_size,takes_per_second
8,1,scalar,0,353952.4958907198
8,16,scalar,0,359204.6741652225
8,256,scalar,0,372774.596565445
64,256,scalar,0,104636.24180652446
256,256,scalar,0,51238.369451144106
8,1,string,0,291895.64756839257
8,16,string,0,329852.7007967971
8,256,string,0,335225.18507312256
64,256,string,0,126608.07976874584
256,256,string,0,25665.45036479983
8,1,vector,0,181407.71241675655
8,16,vector,0,213778.82887257435
8,256,vector,0,221145.4543251966
64,256,vector,0,96923.64747531104
256,256,vector,0,21822.435662431388
8,1,scalar-list,0,276135.5157036245
8,16,scalar-list,0,294177.94121258956
8,256,scalar-list,0,296988.92048516305
64,256,scalar-list,0,140265.61128003054
256,256,scalar-list,0,39476.52922189583
8,1,string-list,0,231216.79367932156
8,16,string-list,0,247054.66943766683
8,256,string-list,0,246663.3751038661
64,256,string-list,0,80732.60383319153
256,256,string-list,0,23315.6972395401
8,1,vector-list,0,125726.44812011425
8,16,vector-list,0,109484.8392802038
8,256,vector-list,0,109334.23000427819
8,1,binary,0,49588.71159744088
8,16,binary,0,50551.73953571471
8,256,binary,0,50477.64169633096
64,256,binary,0,16842.43353057381
256,256,binary,0,10230.510371725664
8,1,binary-list,0,13456.623976847395
8,16,binary-list,0,13552.220699484184
8,256,binary-list,0,13619.80498863647
64,256,binary-list,0,10520.493094130208
256,256,binary-list,0,7065.22675127589
