library,columns,predicate,late_materialization,selectivity,num_ios,total_bytes
Lance,id,id >= 0,True,1.0,101,808928
Lance,vec,id >= 0,True,1.0,199,308008928
Lance,img,id >= 0,True,1.0,297,4097609712
Lance,id,id >= 2500,True,0.975,101,808928
Lance,vec,id >= 2500,True,0.975,197,300328928
Lance,img,id >= 2500,True,0.975,293,3995189696
Lance,id,id >= 5000,True,0.95,101,808928
Lance,vec,id >= 5000,True,0.95,195,292648928
Lance,img,id >= 5000,True,0.95,289,3892769680
Lance,id,id >= 7500,True,0.925,101,808928
Lance,vec,id >= 7500,True,0.925,192,284968928
Lance,img,id >= 7500,True,0.925,283,3790349656
Lance,id,id >= 10000,True,0.9,101,808928
Lance,vec,id >= 10000,True,0.9,190,277288928
Lance,img,id >= 10000,True,0.9,279,3687929640
Lance,id,id >= 12500,True,0.875,101,808928
Lance,vec,id >= 12500,True,0.875,187,269608928
Lance,img,id >= 12500,True,0.875,273,3585509616
Lance,id,id >= 15000,True,0.85,101,808928
Lance,vec,id >= 15000,True,0.85,185,261928928
Lance,img,id >= 15000,True,0.85,269,3483089600
Lance,id,id >= 17500,True,0.825,101,808928
Lance,vec,id >= 17500,True,0.825,182,254248928
Lance,img,id >= 17500,True,0.825,263,3380669576
Lance,id,id >= 20000,True,0.8,101,808928
Lance,vec,id >= 20000,True,0.8,180,246568928
Lance,img,id >= 20000,True,0.8,259,3278249560
Lance,id,id >= 22500,True,0.775,101,808928
Lance,vec,id >= 22500,True,0.775,178,238888928
Lance,img,id >= 22500,True,0.775,255,3175829544
Lance,id,id >= 25000,True,0.75,101,808928
Lance,vec,id >= 25000,True,0.75,175,231208928
Lance,img,id >= 25000,True,0.75,249,3073409520
Lance,id,id >= 27500,True,0.725,101,808928
Lance,vec,id >= 27500,True,0.725,173,223528928
Lance,img,id >= 27500,True,0.725,245,2970989504
Lance,id,id >= 30000,True,0.7,101,808928
Lance,vec,id >= 30000,True,0.7,170,215848928
Lance,img,id >= 30000,True,0.7,239,2868569480
Lance,id,id >= 32500,True,0.675,101,808928
Lance,vec,id >= 32500,True,0.675,168,208168928
Lance,img,id >= 32500,True,0.675,235,2766149464
Lance,id,id >= 35000,True,0.65,101,808928
Lance,vec,id >= 35000,True,0.65,165,200488928
Lance,img,id >= 35000,True,0.65,229,2663729440
Lance,id,id >= 37500,True,0.625,101,808928
Lance,vec,id >= 37500,True,0.625,163,192808928
Lance,img,id >= 37500,True,0.625,225,2561309424
Lance,id,id >= 40000,True,0.6,101,808928
Lance,vec,id >= 40000,True,0.6,160,185128928
Lance,img,id >= 40000,True,0.6,219,2458889400
Lance,id,id >= 42500,True,0.575,101,808928
Lance,vec,id >= 42500,True,0.575,158,177448928
Lance,img,id >= 42500,True,0.575,215,2356469384
Lance,id,id >= 45000,True,0.55,101,808928
Lance,vec,id >= 45000,True,0.55,156,169768928
Lance,img,id >= 45000,True,0.55,211,2254049368
Lance,id,id >= 47500,True,0.525,101,808928
Lance,vec,id >= 47500,True,0.525,153,162088928
Lance,img,id >= 47500,True,0.525,205,2151629344
Lance,id,id >= 50000,True,0.5,101,808928
Lance,vec,id >= 50000,True,0.5,151,154408928
Lance,img,id >= 50000,True,0.5,201,2049209328
Lance,id,id >= 52500,True,0.475,101,808928
Lance,vec,id >= 52500,True,0.475,148,146728928
Lance,img,id >= 52500,True,0.475,195,1946789304
Lance,id,id >= 55000,True,0.45,101,808928
Lance,vec,id >= 55000,True,0.45,146,139048928
Lance,img,id >= 55000,True,0.45,191,1844369288
Lance,id,id >= 57500,True,0.425,101,808928
Lance,vec,id >= 57500,True,0.425,143,131368928
Lance,img,id >= 57500,True,0.425,185,1741949264
Lance,id,id >= 60000,True,0.4,101,808928
Lance,vec,id >= 60000,True,0.4,141,123688928
Lance,img,id >= 60000,True,0.4,181,1639529248
Lance,id,id >= 62500,True,0.375,101,808928
Lance,vec,id >= 62500,True,0.375,138,116008928
Lance,img,id >= 62500,True,0.375,175,1537109224
Lance,id,id >= 65000,True,0.35,101,808928
Lance,vec,id >= 65000,True,0.35,136,108328928
Lance,img,id >= 65000,True,0.35,171,1434689208
Lance,id,id >= 67500,True,0.325,101,808928
