timestamp_ns,duration_ns,requests_in_flight,path,range_start,range_end
0,81000,0,traced_file,3136551574,3136555670
384999,83000,1,traced_file,3136533824,3136551574
3172000,78000,2,traced_file,1887167744,1887171652
4058000,109000,3,traced_file,36110016,36113924
4317999,77000,4,traced_file,1290776000,1290779908
4442000,71000,5,traced_file,1918252160,1918256068
4531000,72000,6,traced_file,694408448,694412356
4548000,81000,7,traced_file,1259691584,1259695492
4691000,81000,8,traced_file,2514845504,2514849412
4827000,82000,9,traced_file,632239616,632243524
5080000,75000,10,traced_file,1384029248,1384033156
5207000,121000,11,traced_file,67194432,67198340
5305999,75000,12,traced_file,1949336576,1949340484
5436999,75000,13,traced_file,1352944832,1352948740
5451000,89000,14,traced_file,663324032,663327940
5551000,78000,15,traced_file,2577014336,2577018244
5682000,102000,16,traced_file,5025600,5029508
5778999,85000,17,traced_file,2701352000,2701355908
5907000,74000,18,traced_file,725492864,725496772
6012000,77000,19,traced_file,1980420992,1980424900
6034000,120000,20,traced_file,98278848,98282756
6492000,79000,21,traced_file,2608098752,2608102660
6592000,71000,22,traced_file,191532096,191536004
7154000,77000,23,traced_file,2670267584,2670271492
7288000,71000,24,traced_file,2794605248,2794609156
7300000,76000,25,traced_file,2166927488,2166931396
7416000,75000,26,traced_file,284785344,284789252
7685000,73000,27,traced_file,1539451328,1539455236
7778999,79000,28,traced_file,2763520832,2763524740
7904000,77000,29,traced_file,880914944,880918852
7927000,86000,30,traced_file,2135843072,2135846980
8030000,74000,31,traced_file,1446198080,1446201988
8171000,81000,32,traced_file,1321860416,1321864324
8180000,82000,33,traced_file,222616512,222620420
8305999,74000,34,traced_file,160447680,160451588
8316999,75000,35,traced_file,2856774080,2856777988
8338999,85000,36,traced_file,1508366912,1508370820
8344000,85000,37,traced_file,1477282496,1477286404
8325000,107000,38,traced_file,253700928,253704836
8486999,73000,39,traced_file,2073674240,2073678148
8581000,68000,40,traced_file,1415113664,1415117572
8732000,77000,41,traced_file,1601620160,1601624068
8871000,71000,42,traced_file,2639183168,2639187076
8890000,81000,43,traced_file,943083776,943087684
8991999,74000,44,traced_file,2198011904,2198015812
9020000,74000,45,traced_file,315869760,315873668
9448000,74000,46,traced_file,1036337024,1036340932
9470000,106000,47,traced_file,129363264,129367172
9591000,78000,48,traced_file,2291265152,2291269060
9593999,80000,49,traced_file,787661696,787665604
9861000,77000,50,traced_file,409123008,409126916
10186999,77000,51,traced_file,1663788992,1663792900
10281999,76000,52,traced_file,2732436416,2732440324
10302000,81000,53,traced_file,1005252608,1005256516
10433999,71000,54,traced_file,2260180736,2260184644
10553000,69000,55,traced_file,471291840,471295748
10562999,92000,56,traced_file,2104758656,2104762564
10922000,74000,57,traced_file,2042589824,2042593732
11048000,74000,58,traced_file,2950027328,2950031236
11171000,73000,59,traced_file,1757042240,1757046148
11292999,73000,60,traced_file,756577280,756581188
12086000,79000,61,traced_file,1788126656,1788130564
12117000,80000,62,traced_file,1160674688,1160678596
12103000,99000,63,traced_file,2415602816,2415606724
12137000,84000,64,traced_file,533460672,533464580
12415000,73000,65,traced_file,3012196160,3012200068
12552000,80000,66,traced_file,818746112,818750020
12663000,72000,67,traced_file,1067421440,1067425348
12651000,89000,68,traced_file,2384518400,2384522308
12676000,85000,69,traced_file,2229096320,2229100228
12952000,76000,70,traced_file,2322349568,2322353476
13052000,72000,71,traced_file,2825689664,2825693572
13227999,80000,72,traced_file,378038592,378042500
13385000,78000,73,traced_file,2981111744,2981115652
13514000,75000,74,traced_file,1694873408,1694877316
13537000,82000,75,traced_file,1098505856,1098509764
13699999,102000,76,traced_file,2011505408,2011509316
13726000,97000,77,traced_file,1819211072,1819214980
13730999,103000,78,traced_file,911999360,912003268
13760000,101000,79,traced_file,1222843520,1222847428
13794000,94000,80,traced_file,3105449408,3105453316
13832000,93000,81,traced_file,2477771648,2477775556
13860999,94000,82,traced_file,2918942912,2918946820
13856000,109000,83,traced_file,1850295488,1850299396
13906000,78000,84,traced_file,2446687232,2446691140
13897000,101000,85,traced_file,595629504,595633412
13887000,116000,86,traced_file,1191759104,1191763012
14128999,79000,87,traced_file,849830528,849834436
14154000,82000,88,traced_file,2887858496,2887862404
14258999,85000,89,traced_file,2545929920,2545933828
14441999,94000,90,traced_file,440207424,440211332
14780000,136000,91,traced_file,1725957824,1725961732
15108999,78000,92,traced_file,346954176,346958084
15114000,84000,93,traced_file,1570535744,1570539652
15147000,86000,94,traced_file,2353433984,2353437892
15267999,101000,95,traced_file,564545088,564548996
15451999,111000,96,traced_file,1632704576,1632708484
15880000,147000,97,traced_file,3074364992,3074368900
16735000,181000,98,traced_file,974168192,974172100
17793000,84000,99,traced_file,3043280576,3043284484
17932999,88000,100,traced_file,1129590272,1129594180
17957000,87000,101,traced_file,502376256,502380164
38668000,84377000,102,traced_file,564549056,580087264
38999000,87295000,103,traced_file,378042560,393580768
39445000,87821000,104,traced_file,315873728,331411936
38850000,88729000,105,traced_file,471295808,486834016
39022000,88832000,106,traced_file,284789312,300327520
38579000,89963000,107,traced_file,440211392,455749600
